"Event type","Event Start","Event End","Duration (hours)"
"Sewage discharge","2026-09-08 09:15","2026-09-08 11:00","01:45"
"Sewage discharge","2026-09-08 08:30","2026-09-08 11:00","02:30"
"Sewage discharge","2026-09-04 04:15","2026-09-04 12:00","07:45"
"Sewage discharge","2026-09-02 15:30","2026-09-02 17:00","01:30"
"Sewage discharge","2026-09-02 12:30","2026-09-02 15:15","02:45"
"Sewage discharge","2026-08-31 06:15","2026-08-31 08:45","02:30"
"Sewage discharge","2026-08-30 15:45","2026-08-31 04:30","12:45"
"Sewage discharge","2026-08-30 09:00","2026-08-30 11:45","02:45"
"Sewage discharge","2026-08-29 08:45","2026-08-29 16:45","08:00"
"Sewage discharge","2026-08-28 18:00","2026-08-28 20:45","02:45"
"Sewage discharge","2026-08-28 12:15","2026-08-28 15:30","03:15"
"Sewage discharge","2026-08-27 06:15","2026-08-27 10:45","04:30"
"Sewage discharge","2026-06-17 10:15","2026-06-17 11:45","01:30"
"Sewage discharge","2026-06-17 07:45","2026-06-17 09:45","02:00"
"Sewage discharge","2026-06-17 06:45","2026-06-17 09:45","03:00"
"Sewage discharge","2026-06-12 00:30","2026-06-12 03:00","02:30"
"Sewage discharge","2026-06-11 08:30","2026-06-11 15:00","06:30"
"Sewage discharge","2026-06-09 20:30","2026-06-09 22:15","01:45"
"Sewage discharge","2026-06-09 12:15","2026-06-09 16:30","04:15"
"Sewage discharge","2026-06-09 08:30","2026-06-09 08:45","00:15"
"Sewage discharge","2026-06-09 05:30","2026-06-09 08:15","02:45"
"Sewage discharge","2026-06-08 04:30","2026-06-08 14:15","09:45"
"Sewage discharge","2026-06-07 20:15","2026-06-08 03:00","06:45"
"Sewage discharge","2026-06-06 19:15","2026-06-06 21:30","02:15"
"Sewage discharge","2026-06-06 02:30","2026-06-06 18:15","15:45"
"Sewage discharge","2026-06-04 20:45","2026-06-05 00:30","03:45"
"Sewage discharge","2026-06-04 08:15","2026-06-05 00:30","16:15"
"Sewage discharge","2026-06-03 22:15","2026-06-04 07:00","08:45"
"Sewage discharge","2026-06-03 19:45","2026-06-03 20:00","00:15"
"Sewage discharge","2026-06-03 15:30","2026-06-03 20:00","04:30"
"Sewage discharge","2026-06-03 10:15","2026-06-03 14:00","03:45"
"Sewage discharge","2026-06-01 19:15","2026-06-02 04:30","09:15"
"Sewage discharge","2026-05-19 21:15","2026-05-20 05:15","08:00"
"Sewage discharge","2026-05-18 23:00","2026-05-19 20:30","21:30"
"Sewage discharge","2026-05-18 19:30","2026-05-18 20:15","00:45"
"Sewage discharge","2026-05-18 16:30","2026-05-18 19:15","02:45"
"Sewage discharge","2026-05-18 11:00","2026-05-18 15:30","04:30"
"Sewage discharge","2026-05-18 04:00","2026-05-18 08:45","04:45"
"Sewage discharge","2026-05-14 13:45","2026-05-14 19:15","05:30"
"Sewage discharge","2026-05-13 23:00","2026-05-14 01:30","02:30"
"Sewage discharge","2026-05-07 17:00","2026-05-07 20:15","03:15"
"False spill","2026-05-04 06:45","2026-05-04 11:15","04:30"
"Sewage discharge","2026-05-03 16:30","2026-05-03 20:45","04:15"
"Sewage discharge","2026-05-02 19:45","2026-05-02 20:30","00:45"
"Sewage discharge","2026-04-29 13:00","2026-04-29 13:15","00:15"
"Sewage discharge","2026-04-17 13:45","2026-04-17 18:45","05:00"
"Sewage discharge","2026-04-15 13:00","2026-04-15 19:45","06:45"
"Sewage discharge","2026-04-11 23:30","2026-04-12 18:45","19:15"
"Sewage discharge","2026-04-11 22:00","2026-04-11 22:30","00:30"
"Sewage discharge","2026-04-04 21:15","2026-04-05 00:45","03:30"
"Sewage discharge","2026-04-03 09:00","2026-04-03 13:15","04:15"
"Sewage discharge","2026-04-03 06:45","2026-04-03 07:15","00:30"
"Sewage discharge","2026-03-15 18:30","2026-03-15 22:15","03:45"
"Sewage discharge","2026-03-15 18:00","2026-03-15 18:15","00:15"
"Sewage discharge","2026-03-15 14:15","2026-03-15 17:45","03:30"
"Sewage discharge","2026-03-14 11:15","2026-03-14 13:45","02:30"
"Sewage discharge","2026-03-12 11:30","2026-03-14 04:45","41:15"
"Sewage discharge","2026-03-10 22:00","2026-03-11 05:15","07:15"
"Sewage discharge","2026-03-06 04:30","2026-03-06 07:30","03:00"
"Sewage discharge","2026-03-02 21:30","2026-03-03 04:00","06:30"
